,SNumber,Date,Time,DNumber,Dtime,Ptime
4,2200,26.06.20,13:39:12,84953157705,   10:00,4:39:00
5,2200,26.06.20,17:27:36,84953157705,   01:00,4:39:00
6,2200,29.06.20,13:56:00,1011416,   00:00,4:39:00
7,2200,29.06.20,13:56:54,8101141,   01:00,4:39:00
8,2200,29.06.20,14:08:48,81057705,   01:00,4:39:00
9,2200,30.06.20,11:56:48,1014163,   06:00,4:39:00
21,2200,03.08.20,09:09:24,1068069,   01:00,4:39:00
33,2200,08.09.20,10:43:30,89175191054,   05:00,4:39:00
34,2200,10.09.20,17:36:36,1014854,   01:00,4:39:00
47,2200,26.10.20,17:42:36,89287250024,   07:00,4:39:00
48,2200,10.11.20,12:38:30,1050005,   03:00,4:39:00
52,2200,24.11.20,12:17:24,1057650,   02:00,4:39:00
69,2200,29.01.21,17:38:54,89375622870,   01:00,4:39:00
75,2200,08.02.21,12:02:54,1050005,   03:00,4:39:00
80,2200,26.03.21,11:44:54,1039039,   06:00,4:39:00
85,2200,05.04.21,14:32:00,1031438,   00:00,4:39:00
96,2200,19.10.21,11:17:00,82253919,   00:00,4:39:00
103,2200,09.11.21,10:15:48,1019393,   08:00,4:39:00
112,2200,17.12.21,11:09:00,1025907,   00:00,4:39:00
113,2200,17.12.21,11:08:54,84956768039,   01:00,4:39:00
114,2200,17.12.21,17:31:00,1025907,   05:00,4:39:00
115,2200,21.12.21,09:13:48,81025907,   01:00,4:39:00
116,2200,21.12.21,09:14:06,1025907,   01:00,4:39:00
117,2200,22.12.21,10:52:00,1025907,   04:00,4:39:00
121,2200,18.02.22,09:14:00,1999,   00:00,4:39:00
144,2200,21.10.22,14:31:48,1019451,   08:00,4:39:00
147,2200,17.11.22,16:01:48,1015800,   06:00,4:39:00
148,2200,18.11.22,10:15:00,1015800,   11:00,4:39:00
150,2200,30.11.23,09:22:36,84959877885,   01:00,4:39:00
153,2200,19.01.23,10:40:36,1019451,   05:00,4:39:00
154,2200,19.01.23,14:10:54,1019393,   03:00,4:39:00
162,2200,14.02.23,14:16:48,1038735,   03:00,4:39:00
166,2200,27.02.23,10:50:36,1019393,   05:00,4:39:00
